pose,position_x,position_y,position_x,orientation_x,orientation_y,orientation_z,orientation_w,status,redundancy
pose,-0.04510785538315375,-0.4846304049784439,0.2143617562196616,0.746658205986023,0.6645803953984811,0.019859620343491112,0.02097646364084083,2,0.33204104722767813
pose,-0.03855458400248707,-0.4957213174286719,0.1722037630071737,0.7463998198509216,0.6643885664562293,0.03433047471000881,0.0172200255844844,2,0.3320174382679695
pose,-0.03855576093860669,-0.49572329102076435,0.172206267712516,0.7464025020599365,0.6643854646679034,0.03433295588608845,0.017219462146908532,2,0.3320167191923176
pose,-0.041117687782030087,-0.4911780329930502,0.221678584317369,0.7471694946289062,0.6639089138297476,0.019661322547906274,0.024002611307015823,2,0.3320019785777876
pose,0.21663495060473642,-0.5235289202629307,0.2261675671821831,0.6792952125196277,0.7326587438583374,0.016241597853490386,0.03879905555165009,2,0.3320053940780507
pose,0.22595215030678809,-0.5217956364104235,0.16307409961480818,0.7065269684513453,0.7066390514373779,0.02905912984447978,0.02522884515426829,2,0.3320058136115696
pose,0.22674787993328085,-0.5206338951559042,0.19732203307835136,0.7055527554755626,0.707639753818512,0.025074670467121946,0.028505035292193132,2,0.33200629292261546
pose,0.08891154278671429,-0.49906910397387083,0.21135895609417915,0.726284384727478,0.6866797711592533,0.024320835846422296,0.019757852870453455,2,0.33200569372926664
pose,0.0968658354400234,-0.4891823302626451,0.17056856761382908,0.7241564393043518,0.68834281166887,0.04199488864714313,0.004247640775604385,2,0.3320017389222647
pose,0.09647683252643709,-0.4935549279150776,0.2121687353239791,0.7240129113197327,0.6889388551609578,0.03153649724620381,0.013192752938845023,2,0.3320009599600029
pose,0.40727701152431495,-0.5119120514085934,0.18880124076543442,0.6756869936731226,0.7348732352256775,0.026099071686364685,0.052223164947859765,2,0.332004255577963
pose,0.4117240775806145,-0.5103707780675356,0.1667710963371211,0.7045862325969648,0.7074482440948486,0.026552724439231984,0.048684301541626805,2,0.33200371627122416
pose,0.4223269206251087,-0.4903976381913321,0.21352728770413326,0.6990199975793163,0.7126250863075256,0.021723557524610727,0.055358720511375595,2,0.3320034167290913
pose,0.030264728290737865,-0.5753251455272858,0.20653836023451655,0.7450922727584839,0.6652674073024688,0.01650841396675777,0.044544904253596806,2,0.3320003607666541
pose,0.042272309706425794,-0.589552329208068,0.17065021652408793,0.7320734858512878,0.681086709800825,0.00797464811627089,0.011213269561390573,2,0.33199784400187277
pose,0.04152299947380146,-0.5931966482283787,0.22070777466634703,0.731895923614502,0.6811900064637477,-0.0010383901028593033,0.017535158857565968,2,0.3319952674595645
pose,0.3052521237163828,-0.6377984551078042,0.22269389396555303,0.6866150367234641,0.7263415455818176,-0.011722014152857377,0.029160312487831814,2,0.3319956269973904
pose,0.318072411221362,-0.6324114496685408,0.17003301555308803,0.7090099453926086,0.7049841344659098,-0.003893595568141822,0.016943967017368333,2,0.33199760434634984
